iter	RMSE
0	57.25269397
1	49.24764021
2	42.86295727
3	37.17457289
4	32.59144148
5	28.72778192
6	25.45387346
7	22.62597042
8	20.18376963
9	18.23010155
10	16.43201853
11	15.10714787
12	13.94564353
13	13.05196408
14	12.18984267
15	11.50841896
16	10.93234037
17	10.3972646
18	9.843263662
19	9.434982639
20	9.086540396
21	8.78335152
22	8.513419278
23	8.271073319
24	8.047145349
25	7.826302619
26	7.632822758
27	7.445784098
28	7.294892313
29	7.125358049
30	6.98421751
31	6.809889689
32	6.685787426
33	6.539657308
34	6.213288337
35	6.012844918
36	5.900216697
37	5.785371474
38	5.696935213
39	5.588191473
40	5.461691803
41	5.343089002
42	5.266042858
43	5.173697767
44	5.0657634
45	4.969027516
46	4.90301964
47	4.820509602
48	4.737242154
49	4.666664766
50	4.610596343
51	4.550662169
52	4.414107844
53	4.337313155
54	4.274585495
55	4.194497616
56	4.145133708
57	4.064732929
58	4.0033889
59	3.896932834
60	3.844274021
61	3.758942344
62	3.619420924
63	3.552680498
64	3.505592783
65	3.43822388
66	3.357481118
67	3.300096783
68	3.26071018
69	3.197155489
70	3.152399991
71	3.102577599
72	3.053320282
73	3.011897831
74	2.944144944
75	2.905490584
76	2.835919203
77	2.800383994
78	2.745048243
79	2.715878151
80	2.67692619
81	2.648267255
82	2.583888542
83	2.540819586
84	2.508320903
85	2.472366543
86	2.446537013
87	2.398748181
88	2.374368476
89	2.345183452
90	2.31415871
91	2.286524323
92	2.254845889
93	2.232071035
94	2.207611645
95	2.163626367
96	2.131873549
97	2.094864529
98	2.076054362
99	2.052527366
100	2.031149299
101	2.007994381
102	1.986458991
103	1.961692808
104	1.942327628
105	1.923382246
106	1.904905311
107	1.887251888
108	1.871534908
109	1.853549939
110	1.838309316
111	1.818551901
112	1.77890572
113	1.760999065
114	1.744135604
115	1.718547476
116	1.702287992
117	1.683043374
118	1.666182704
119	1.651707977
120	1.634581737
121	1.603628949
122	1.580417336
123	1.554579788
124	1.537730225
125	1.525442292
126	1.511298623
127	1.499927975
128	1.488489709
129	1.468439301
130	1.452185607
131	1.439706089
132	1.417836111
133	1.398762004
134	1.38191017
135	1.364654461
136	1.349854177
137	1.332917425
138	1.3211702
139	1.307584227
140	1.296164976
141	1.284838059
142	1.269733054
143	1.257009819
144	1.246244646
145	1.235888006
146	1.225765504
147	1.21330893
148	1.202619052
149	1.193551406
150	1.185415625
151	1.17708737
152	1.16745034
153	1.147245585
154	1.137830476
155	1.128548003
156	1.115125201
157	1.105573853
158	1.096690143
159	1.08862026
160	1.080802415
161	1.072976998
162	1.065425204
163	1.056951973
164	1.049061706
165	1.040709165
166	1.033277823
167	1.026005982
168	1.019266809
169	1.013612581
170	1.005199186
171	0.9984573071
172	0.9896648569
173	0.9807574609
174	0.9726401654
175	0.962131657
176	0.9462778038
177	0.9385533362
178	0.9320244772
179	0.9269949056
180	0.9152172965
181	0.9085863674
182	0.9026442237
183	0.8978859022
184	0.8903030893
185	0.8847378984
186	0.8737942513
187	0.8592908154
188	0.8520669351
189	0.8461106683
190	0.8405250844
191	0.8353658996
192	0.8288129583
193	0.8240859449
194	0.8131607514
195	0.8069721639
196	0.7965992755
197	0.7896958257
198	0.784929353
199	0.7797048724
200	0.7749052205
201	0.7647471739
202	0.7593061592
203	0.7532702737
204	0.7479024459
205	0.7379680025
206	0.7319928174
207	0.7275927245
208	0.7198712149
209	0.7092734611
210	0.7038681823
211	0.6993529875
212	0.6950726009
213	0.6896814505
214	0.6839964311
215	0.6804629493
216	0.6729866854
217	0.6653810375
218	0.6591513937
219	0.6528496094
220	0.6479676504
221	0.6448686253
222	0.6412552616
223	0.6366663869
224	0.6324443833
225	0.6285217777
226	0.6237750134
227	0.6199875412
228	0.6158885771
229	0.611912962
230	0.6087673096
231	0.604693597
232	0.6019837194
233	0.5978155654
234	0.5935358947
235	0.5902907274
236	0.5869085003
237	0.5816075937
238	0.5776927233
239	0.5707813024
240	0.5654028693
241	0.5618822877
242	0.5585005622
243	0.5547944696
244	0.5514947666
245	0.5482277636
246	0.5443838495
247	0.5411589769
248	0.5380901456
249	0.5351523975
250	0.5328339825
251	0.5297968689
252	0.5269445568
253	0.5234242793
254	0.520753242
255	0.5187612165
256	0.5153401976
257	0.5109834902
258	0.5075523461
259	0.5049839878
260	0.5025669188
261	0.5002203281
262	0.4981916512
263	0.4957656264
264	0.4928216434
265	0.4898999659
266	0.485723296
267	0.4838884765
268	0.4808906799
269	0.4791164476
270	0.475599181
271	0.4734999431
272	0.4710789665
273	0.4692851835
274	0.4670389719
275	0.4653762578
276	0.4627331419
277	0.4601069109
278	0.4568120426
279	0.454662788
280	0.4526437268
281	0.4499232576
282	0.4471734714
283	0.4442107257
284	0.4415730626
285	0.4391838591
286	0.4374063891
287	0.435714339
288	0.4317924695
289	0.4288543562
290	0.4265757465
291	0.4241056762
292	0.421645523
293	0.4188700479
294	0.4167072333
295	0.4149939592
296	0.41201246
297	0.4094822038
298	0.4077278456
299	0.405376359
300	0.402924968
301	0.4005870487
302	0.3980715355
303	0.3965781019
304	0.3946863411
305	0.3927385783
306	0.390880083
307	0.3887547836
308	0.3872102887
309	0.3860080786
310	0.3836476011
311	0.3810111347
312	0.3776604242
313	0.3760899024
314	0.3731002517
315	0.3712698274
316	0.3692724711
317	0.3678733776
318	0.3659559127
319	0.36315361
320	0.3611408423
321	0.35930641
322	0.3575406257
323	0.3563161045
324	0.3543459248
325	0.3530126716
326	0.3515825663
327	0.3498454083
328	0.3487345437
329	0.347102073
330	0.3434619751
331	0.3413791701
332	0.3401072723
333	0.3380088103
334	0.3363829295
335	0.3353714814
336	0.3334795181
337	0.3313836404
338	0.329854231
339	0.3286573829
340	0.3269034527
341	0.3252392881
342	0.3242035986
343	0.3227099526
344	0.3208297536
345	0.3195161954
346	0.3185898105
347	0.3172109339
348	0.3160525884
349	0.3138152449
350	0.3125639789
351	0.3108004027
352	0.3097252075
353	0.3083158733
354	0.3071073651
355	0.3057780172
356	0.3044304122
357	0.3032525236
358	0.3020921059
359	0.299182813
360	0.2972082472
361	0.2962836682
362	0.2948895448
363	0.2939113397
364	0.2918347978
365	0.2908559553
366	0.2898673718
367	0.2887662167
368	0.2875151063
369	0.2863800425
370	0.2855716728
371	0.2845473162
372	0.2832431515
373	0.2811139666
374	0.2801871203
375	0.2784304946
376	0.2769342515
377	0.2756632027
378	0.2746086599
379	0.2734421693
380	0.2721551371
381	0.2709576423
382	0.269851503
383	0.2691455267
384	0.2681728381
385	0.2671161193
386	0.2657795233
387	0.2645338145
388	0.2635850096
389	0.2621657234
390	0.2608566471
391	0.2598039465
392	0.2587363586
393	0.2580481084
394	0.2575205433
395	0.2566664656
396	0.2556899596
397	0.2547464153
398	0.2538981669
399	0.2528282728
