iter	Passed	Remaining
0	161	64289
1	192	38401
2	221	29348
3	250	24766
4	277	21961
5	293	19305
6	306	17184
7	315	15439
8	323	14062
9	332	12985
10	341	12090
11	351	11353
12	360	10723
13	371	10231
14	380	9761
15	388	9333
16	397	8964
17	406	8618
18	415	8325
19	423	8047
20	432	7808
21	440	7573
22	450	7389
23	459	7192
24	467	7015
25	477	6865
26	485	6700
27	493	6558
28	501	6420
29	512	6320
30	522	6223
31	533	6132
32	542	6035
33	550	5928
34	560	5841
35	568	5744
36	577	5664
37	585	5578
38	594	5500
39	602	5421
40	612	5361
41	621	5297
42	629	5229
43	638	5165
44	646	5103
45	656	5051
46	664	4987
47	672	4934
48	681	4878
49	689	4826
50	696	4769
51	705	4721
52	713	4672
53	722	4628
54	730	4580
55	738	4537
56	746	4492
57	754	4447
58	762	4404
59	769	4362
60	778	4326
61	787	4292
62	795	4255
63	804	4222
64	812	4186
65	821	4157
66	830	4125
67	839	4096
68	847	4066
69	856	4036
70	865	4010
71	873	3980
72	882	3954
73	891	3926
74	900	3901
75	908	3873
76	918	3852
77	926	3824
78	935	3800
79	944	3777
80	952	3752
81	961	3729
82	969	3703
83	978	3682
84	986	3655
85	995	3635
86	1003	3610
87	1013	3591
88	1023	3574
89	1034	3563
90	1044	3545
91	1051	3521
92	1064	3514
93	1074	3498
94	1082	3475
95	1092	3458
96	1099	3435
97	1108	3415
98	1116	3393
99	1124	3374
100	1132	3354
101	1141	3336
102	1149	3315
103	1157	3295
104	1166	3278
105	1174	3257
106	1182	3237
107	1190	3218
108	1199	3201
109	1207	3183
110	1216	3166
111	1225	3151
112	1234	3135
113	1244	3123
114	1255	3110
115	1263	3094
116	1273	3079
117	1280	3061
118	1290	3047
119	1298	3029
120	1308	3017
121	1319	3006
122	1327	2990
123	1338	2979
124	1347	2963
125	1357	2951
126	1365	2935
127	1374	2919
128	1385	2910
129	1393	2894
130	1403	2882
131	1412	2868
132	1422	2856
133	1433	2846
134	1443	2834
135	1454	2823
136	1467	2817
137	1478	2806
138	1488	2794
139	1498	2782
140	1506	2768
141	1517	2757
142	1527	2745
143	1536	2730
144	1545	2717
145	1554	2703
146	1565	2693
147	1576	2684
148	1585	2670
149	1594	2657
150	1602	2642
151	1611	2629
152	1619	2613
153	1627	2599
154	1635	2585
155	1643	2571
156	1652	2557
157	1660	2543
158	1668	2529
159	1677	2515
160	1685	2502
161	1693	2488
162	1702	2475
163	1710	2461
164	1719	2448
165	1728	2436
166	1736	2422
167	1744	2408
168	1752	2394
169	1760	2381
170	1769	2369
171	1777	2356
172	1786	2343
173	1795	2331
174	1804	2320
175	1813	2307
176	1823	2297
177	1833	2287
178	1844	2276
179	1854	2267
180	1867	2259
181	1876	2247
182	1886	2237
183	1896	2226
184	1907	2217
185	1919	2208
186	1929	2198
187	1939	2187
188	1950	2177
189	1959	2166
190	1972	2158
191	1981	2146
192	1990	2134
193	1999	2122
194	2006	2109
195	2015	2097
196	2023	2084
197	2031	2072
198	2038	2059
199	2049	2049
200	2060	2039
201	2069	2028
202	2078	2016
203	2088	2006
204	2097	1994
205	2106	1983
206	2115	1972
207	2122	1959
208	2131	1948
209	2141	1937
210	2149	1925
211	2157	1913
212	2165	1901
213	2174	1890
214	2183	1878
215	2191	1867
216	2199	1854
217	2209	1844
218	2217	1832
219	2225	1820
220	2233	1809
221	2241	1797
222	2249	1785
223	2258	1774
224	2267	1763
225	2276	1752
226	2284	1741
227	2293	1730
228	2301	1718
229	2309	1707
230	2318	1696
231	2327	1685
232	2334	1673
233	2343	1662
234	2352	1651
235	2361	1640
236	2368	1628
237	2376	1617
238	2384	1606
239	2391	1594
240	2400	1583
241	2409	1572
242	2418	1562
243	2426	1551
244	2435	1540
245	2443	1529
246	2452	1519
247	2460	1507
248	2469	1497
249	2477	1486
250	2486	1476
251	2494	1465
252	2505	1455
253	2514	1445
254	2522	1434
255	2535	1426
256	2547	1417
257	2559	1408
258	2574	1401
259	2584	1391
260	2594	1381
261	2603	1371
262	2613	1361
263	2621	1350
264	2633	1341
265	2641	1330
266	2651	1320
267	2659	1309
268	2667	1299
269	2678	1289
270	2687	1279
271	2699	1270
272	2714	1262
273	2723	1252
274	2732	1241
275	2742	1232
276	2754	1223
277	2766	1214
278	2778	1204
279	2786	1194
280	2796	1184
281	2806	1174
282	2814	1163
283	2823	1153
284	2834	1143
285	2843	1133
286	2852	1122
287	2863	1113
288	2874	1103
289	2884	1094
