Order_Date,Time,Aging,Customer_Id,Gender,Device_Type,Customer_Login_type,Product_Category,Product,Sales,Quantity,Discount,Profit,Shipping_Cost,Order_Priority,Payment_method
02-01-2018,10:56:33,8,37077,Female,Web,Member,Auto & Accessories,Car Media Players,140,1,0.3,46,4.6,Medium,credit_card
24-07-2018,20:41:37,2,59173,Female,Web,Member,Auto & Accessories,Car Speakers,211,1,0.3,112,11.2,Medium,credit_card
08-11-2018,08:38:49,8,41066,Female,Web,Member,Auto & Accessories,Car Body Covers,117,5,0.1,31.2,3.1,Critical,credit_card
18-04-2018,19:28:06,7,50741,Female,Web,Member,Auto & Accessories,Car & Bike Care,118,1,0.3,26.2,2.6,High,credit_card
13-08-2018,21:18:39,9,53639,Female,Web,Member,Auto & Accessories,Tyre,250,1,0.3,160,16,Critical,credit_card
09-07-2018,21:57:05,8,39783,Female,Web,Member,Auto & Accessories,Bike Tyres,72,1,0.3,24,2.4,Critical,credit_card
16-05-2018,13:10:30,1,26767,Female,Web,Member,Auto & Accessories,Car Mat,54,1,0.3,54,5.4,High,credit_card
23-06-2018,18:29:09,7,20719,Female,Web,Member,Auto & Accessories,Car Seat Covers,114,5,0.2,22.6,2.3,Critical,credit_card
29-07-2018,11:55:02,7,46947,Female,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,231,5,0.3,116.4,11.6,Critical,credit_card
16-05-2018,19:41:10,10,31839,Female,Web,Member,Auto & Accessories,Car Media Players,140,1,0.2,54.4,5.4,Critical,money_order
13-07-2018,19:58:11,10,22249,Female,Web,Member,Auto & Accessories,Car Speakers,211,4,0.1,122.6,12.3,Critical,credit_card
07-10-2018,10:06:19,1,15109,Female,Web,Member,Auto & Accessories,Car Body Covers,117,4,0.3,18.3,1.8,High,credit_card
25-07-2018,17:44:10,7,18622,Female,Web,Member,Auto & Accessories,Car & Bike Care,118,1,0.2,35.6,3.6,Critical,credit_card
01-12-2018,14:14:28,5,56296,Female,Web,Member,Auto & Accessories,Tyre,250,1,0.3,140,14,High,credit_card
07-10-2018,19:03:12,9,34138,Female,Web,Member,Auto & Accessories,Bike Tyres,72,4,0.1,18,1.8,Medium,credit_card
02-06-2018,19:00:43,10,51112,Female,Web,Member,Auto & Accessories,Car Mat,54,1,0.1,27,2.7,Critical,credit_card
26-03-2018,23:41:31,4,57057,Female,Web,Member,Auto & Accessories,Car Seat Covers,114,1,0.3,22.6,2.3,High,credit_card
21-04-2018,00:03:41,7,50942,Female,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,231,5,0.3,93.3,9.3,High,credit_card
26-01-2018,15:54:26,7,42384,Female,Web,Member,Auto & Accessories,Car Media Players,140,1,0.3,46,4.6,Critical,credit_card
18-02-2018,14:31:30,6,26127,Female,Web,Member,Auto & Accessories,Car Speakers,211,1,0.2,122.6,12.3,Critical,credit_card
15-12-2018,08:52:40,4,14449,Female,Web,Member,Auto & Accessories,Car Body Covers,117,5,0.1,31.2,3.1,Critical,credit_card
03-08-2018,20:37:35,7,16823,Female,Web,Member,Auto & Accessories,Car & Bike Care,118,1,0.3,30.9,3.1,High,credit_card
08-06-2018,07:55:29,6,15976,Female,Web,Member,Auto & Accessories,Tyre,250,4,0.2,150,15,High,credit_card
09-11-2018,11:44:40,2,51542,Female,Web,Member,Auto & Accessories,Bike Tyres,72,4,0.2,18,1.8,Critical,credit_card
20-08-2018,23:46:53,8,42676,Female,Web,Member,Auto & Accessories,Car Mat,54,1,0.3,54,5.4,High,money_order
04-10-2018,00:00:13,4,56593,Female,Web,Member,Auto & Accessories,Car Seat Covers,114,4,0.2,24.9,2.5,Critical,e_wallet
12-12-2018,01:50:26,8,37689,Female,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,231,1,0.3,144.1,14.4,Critical,credit_card
02-05-2018,11:45:38,,26058,Female,Web,Member,Auto & Accessories,Car Media Players,140,1,0.3,55.8,5.6,High,credit_card
25-08-2018,13:50:30,7,38941,Female,Web,Member,Auto & Accessories,Car Speakers,211,1,0.3,112,11.2,Medium,credit_card
10-11-2018,11:58:33,4,19919,Female,Web,Member,Auto & Accessories,Car Body Covers,117,1,0.2,34.7,3.5,High,money_order
16-09-2018,21:15:39,9,56625,Female,Web,Member,Auto & Accessories,Car & Bike Care,118,1,0.3,27.4,2.7,Critical,credit_card
12-03-2018,13:56:04,5,33501,Female,Web,Member,Auto & Accessories,Tyre,250,1,0.2,165,16.5,Medium,credit_card
03-08-2018,12:38:58,10,40865,Female,Web,Member,Auto & Accessories,Bike Tyres,72,4,0.3,18,1.8,High,credit_card
29-07-2018,23:34:51,5,38256,Female,Web,Member,Auto & Accessories,Car Mat,54,4,0.3,13.5,1.4,Critical,credit_card
17-08-2018,15:59:46,1,14567,Female,Web,Member,Auto & Accessories,Car Seat Covers,114,4,0.1,29.4,2.9,High,credit_card
21-08-2018,18:15:12,4,38178,Female,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,231,1,0.3,127.9,12.8,High,credit_card
30-07-2018,21:37:10,6,24153,Female,Web,Member,Auto & Accessories,Car Media Players,140,5,0.3,32,3.2,Medium,credit_card
01-10-2018,12:23:13,3,27385,Female,Web,Member,Auto & Accessories,Car Speakers,211,4,0.1,122.6,12.3,Critical,credit_card
26-12-2018,17:12:18,2,44937,Female,Web,Member,Auto & Accessories,Car Body Covers,117,1,0.3,32.3,3.2,High,credit_card
19-05-2018,18:53:40,6,38490,Female,Web,Member,Auto & Accessories,Car & Bike Care,118,5,0.3,14.4,1.4,Critical,money_order
24-04-2018,21:27:48,4,30549,Female,Web,Member,Auto & Accessories,Tyre,250,5,0.3,132.5,13.3,Critical,credit_card
04-11-2018,17:10:39,8,50606,Female,Web,Member,Auto & Accessories,Bike Tyres,72,5,0.2,14.4,1.4,Critical,credit_card
04-11-2018,23:25:30,1,42084,Female,Web,Member,Auto & Accessories,Car Mat,54,5,0.1,10.8,1.1,High,money_order
18-05-2018,13:55:47,5,52161,Female,Web,Member,Auto & Accessories,Car Seat Covers,114,4,0.3,15.8,1.6,Critical,credit_card
14-05-2018,20:28:25,7,32218,Female,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,231,4,0.3,114,11.4,High,money_order
17-05-2018,16:59:11,8,36491,Female,Web,Member,Auto & Accessories,Car Media Players,140,1,0.3,46,4.6,Critical,credit_card
29-07-2018,11:24:17,6,12227,Female,Web,Member,Auto & Accessories,Car Speakers,211,1,0.1,128.9,12.9,Critical,credit_card
09-11-2018,20:19:05,1,13196,Female,Web,Member,Auto & Accessories,Car Body Covers,117,4,0.3,13.6,1.4,Critical,credit_card
01-08-2018,14:02:19,6,50444,Female,Web,Guest,Auto & Accessories,Car & Bike Care,118,5,0.3,14.4,1.4,Critical,credit_card
26-10-2018,13:42:52,5,24528,Male,Web,Member,Auto & Accessories,Tyre,250,1,0.1,165,16.5,Medium,credit_card
26-07-2018,14:39:59,3,57748,Male,Web,Member,Auto & Accessories,Bike Tyres,72,1,0.1,36,3.6,Critical,credit_card
15-03-2018,00:06:10,6,46349,Male,Web,Member,Auto & Accessories,Car Mat,54,5,0.3,10.8,1.1,High,credit_card
30-11-2018,08:15:24,4,54853,Male,Web,Member,Auto & Accessories,Car Seat Covers,114,4,0.3,11.2,1.1,High,credit_card
11-10-2018,10:25:52,2,28082,Male,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,231,1,0.3,132.5,13.3,High,money_order
11-10-2018,08:18:19,6,20444,Male,Web,Member,Auto & Accessories,Car Media Players,140,1,0.3,51.6,5.2,High,money_order
09-12-2018,14:50:15,5,51472,Male,Web,Member,Auto & Accessories,Car Speakers,211,1,0.1,128.9,12.9,Critical,credit_card
13-12-2018,18:14:36,8,45606,Male,Web,Member,Auto & Accessories,Car Body Covers,117,4,0.2,27.6,2.8,High,credit_card
13-10-2018,21:11:26,5,47238,Male,Web,Member,Auto & Accessories,Car & Bike Care,118,1,0.3,20.3,2,Critical,credit_card
30-04-2018,22:02:15,6,18609,Male,Web,Member,Auto & Accessories,Tyre,250,1,0.3,160,16,Medium,credit_card
05-11-2018,13:09:48,3,39387,Male,Web,Member,Auto & Accessories,Bike Tyres,72,1,0.3,36,3.6,High,credit_card
15-04-2018,11:31:41,9,47027,Male,Web,Member,Auto & Accessories,Car Mat,54,5,0.1,10.8,1.1,High,credit_card
19-08-2018,20:31:09,9,31526,Male,Web,Member,Auto & Accessories,Car Seat Covers,114,1,0.1,30.6,3.1,High,credit_card
22-09-2018,08:48:13,8,25308,Male,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,231,5,0.2,127.9,12.8,Medium,money_order
07-06-2018,21:44:54,2,47320,Male,Web,Member,Auto & Accessories,Car Media Players,140,1,0.3,53,5.3,Critical,credit_card
10-08-2018,13:26:59,4,52527,Male,Web,Member,Auto & Accessories,Car Speakers,211,1,0.3,109.9,11,Medium,money_order
18-10-2018,16:02:23,2,17333,Male,Web,Member,Auto & Accessories,Car Body Covers,117,1,0.2,34.7,3.5,High,credit_card
13-10-2018,13:47:39,3,26223,Male,Web,Member,Auto & Accessories,Car & Bike Care,118,1,0.1,36.8,3.7,High,credit_card
15-07-2018,08:33:19,1,22734,Male,Web,Member,Auto & Accessories,Tyre,250,1,0.1,167.5,16.8,High,money_order
13-02-2018,14:27:11,2,54066,Male,Web,Member,Auto & Accessories,Bike Tyres,72,1,0.2,72,7.2,High,e_wallet
13-09-2018,08:44:17,4,55093,Male,Web,Member,Auto & Accessories,Car Mat,54,1,0.3,54,5.4,Critical,credit_card
15-08-2018,10:33:30,2,49436,Male,Web,Member,Auto & Accessories,Car Seat Covers,114,4,0.3,20.3,2,Medium,e_wallet
20-08-2018,11:45:39,3,41257,Male,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,231,1,0.3,116.4,11.6,Medium,credit_card
20-09-2018,17:15:46,6,55433,Male,Web,Member,Auto & Accessories,Car Media Players,140,4,0.3,32,3.2,High,money_order
15-02-2018,09:19:48,1,13366,Male,Web,Member,Auto & Accessories,Car Speakers,211,5,0.1,120.5,12,Critical,credit_card
28-07-2018,16:52:55,4,41451,Male,Web,Member,Auto & Accessories,Car Body Covers,117,4,0.1,32.3,3.2,High,credit_card
09-11-2018,18:32:47,2,42588,Male,Web,Member,Auto & Accessories,Car & Bike Care,118,1,0.1,36.8,3.7,High,e_wallet
26-11-2018,22:04:34,9,26754,Male,Web,Member,Auto & Accessories,Tyre,250,4,0.3,140,14,Critical,credit_card
30-07-2018,03:06:35,10,34365,Male,Web,Member,Auto & Accessories,Bike Tyres,72,4,0.3,18,1.8,Critical,credit_card
22-03-2018,00:17:37,4,49745,Male,Web,Member,Auto & Accessories,Car Mat,54,5,0.3,10.8,1.1,High,credit_card
06-09-2018,22:39:29,8,53213,Male,Web,Member,Auto & Accessories,Car Seat Covers,114,1,0.3,28.3,2.8,Critical,credit_card
